label	sentence
positive	In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an increase of 1.9 percent from the sales of 19.92 million liters in December 2004 .
neutral	Exel wants to serve its industrial customers with individual products .
neutral	Panostaja , headquartered in Tampere , Finland , is an investment company focusing on small and medium-sized Finnish companies operating in the traditional industries .
neutral	The reductions will be implemented mainly in the course of the first half of 2009 .
neutral	`` Because we 're a pension insurance company , we 're required to diversify and not put too much in one asset class .
positive	`` I am very pleased and proud of our performance last year , '' Chief Executive Juha Rantanen said in a statement .
negative	All the ferries had run into trouble just outside the Stockholm archipelago , made up of more than 20,000 islands .
positive	`` The Government has had a very professional approach in assessing the offer .
neutral	The company also said that its board of directors has proposed a profit distribution of EUR0 .92 per share .
positive	Kesko 's car import and retailing business , VV-Auto , saw sales grow by 17.1 pct .
neutral	In addition , we will launch a versatile online service to complete the traditional printed newspaper , Mr. Valkama says .
neutral	When new types of network elements are added to the network , the conversion file is updated by adding the information required for converting the message format of the new network element type to the format understood by the management system .
neutral	Pharmaceutical market in Poland Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Poland .
neutral	According to Chairman Michael Hornborg , the organizations has merely criticised Raisio 's weak performance .
positive	EBIT excluding non-recurring items was estimated to increase from 2009 .
negative	In the Baltic states the company reports net sales of EUR 11.9 mn , down from EUR 14.2 mn , and an operative EBIT of EUR -2.2 mn , down from EUR -1.7 mn .
positive	HELSINKI , Finland , Sept. 18 , 2009 ( GLOBE NEWSWIRE ) -- Ixonos Plc expands the company 's smartphone R&D services and establishes a new next-generation smartphone design unit in connection with Ixonos ' site in Jyvaeskylae .
neutral	The money will be spread mainly over 2011 and 2012 , the company said .
positive	Net sales of Finnish food industry company L+ñnnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .
positive	We aim to ensure that Vacon is in good shape when capital expenditure starts to pick up again , '' comments Vacon Plc President and CEO Vesa Laisi .
positive	SysOpen Digia Plc , Press release , 7 February 2006 IBM Finland has rewarded its most distinguished partner companies for 2005 .
positive	Under the agreement GeoSentric will provide GyPSii-powered hotel information and reservation services to visitors to China , including such popular cities as Beijing and Shanghai .
positive	Operating profit totaled EUR 5.5 mn , up from EUR -0.7 mn .
neutral	The Group 's revenue in 2009 amounted to EUR 70 million and the company currently employs approximately 780 people .
neutral	The unit 's clients are mainly in the field of specialist convenience goods , as well as in the textile , shoe and furniture businesses .
neutral	ALEXANDRIA , Va. , Oct. 6 -- United States Patent no. 7,804,288 , issued on Sept. 28 , was assigned to Vacon Oyj ( Vaasa , Finland ) .
neutral	In 2008 , the steel industry accounted for 64 percent of the cargo volumes transported , whereas the energy industry accounted for 28 percent and other industries for 8 percent .
neutral	Through the new production lines at the Novator mill in Veliky Ustjug , Vologda Oblast , Sveza will change its current 1.5 m by 1.5 m birch plywood production targeting the domestic market to produce 1.5 m by 3.0 m overlaid birch plywood for the global market .
neutral	It would be premature to talk about dates , volume and the investment procedure , '' he said .
positive	Cash flow from operating activities is estimated to be positive .
neutral	Retail chain Suomen L+ñhikauppa was given the index 5.8 , airline SAS 5.8 , TeliaSonera 's broadband 6.1 , German retail chain Lidl 6.1 , Tele Finland 's mobile subscriptions 6.1 , Tallink shipping line 6.3 , and power company Helsinki Energy 6.3 .
neutral	Valmet Automotive reports net sales of EUR 85mn and operating profit of EUR 8mn .
neutral	The Board established a Remuneration Committee with following members : - Sari Baldauf Chairman - Tapio Hintikka - Heikki Westerlund In addition , the Board decided to appoint a Nomination Committee at a later stage .
neutral	Together they generate Aspo 's goodwill .
neutral	Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/2009
positive	Passenger-related revenue rose by 5.1 % to EUR 460.8 mn from EUR 438.5 mn in 2009 .
neutral	The company also equipped the sculptural complex Rabochy i Kolkhoznitsa A Worker and a Collective Farmer in Moscow with snow melting system .
positive	Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .
neutral	Satama and Trainers ' House will remain as names and independent brands of the business areas .
neutral	Honkarakenne mainly exports large luxury log houses to Russia to be used as one-family houses or holiday homes ; 70 % of sales go to the Moscow region , about 20 % to the St Petersburg region , and the remainder to other locations .
negative	30 November 2009 - Finnish office furniture maker Martela Oyj HEL : MARAS said today that it will make redundant three people and other nine will be laid off permanently from the company 's office staff and factory workers .
neutral	Mr. Mika Korpinen , APAC Vice President for Comptel concludes : `` Comptel is once again demonstrating the importance of providing reliable delivery and enabling time-to-market .
negative	Metso estimates the need for personnel reductions to amount to 25 people .
positive	In the end of 2006 , the number of outlets will rise to 60-70 .
neutral	This would be a huge process .
positive	Kalmar has been awarded a new 5-year contract to supply its Rough Terrain Container Handler RTCH .
neutral	The share subscription period for C options will commence on 1 September 2008 and expire on 31 March 2011 .
positive	The pipeline is strong .
neutral	According to statistics by the Finnish Maritime Administration , shipping did not increase much in January-August 2009 , however .
neutral	Negotiations with representatives of the personnel regarding the restructuring process have now been ended .
neutral	The new organization consists of two business units : Charging & Messaging and Finance & Administration .
negative	The dismissed staff members will now take the matter to court unless it can be settled outside .
negative	Full-year operating result for 2008 was 3.6 million negative .
neutral	The platform would continue to be the development framework for Symbian and MeeGo .
neutral	Together with Latvia , Cramo will operate 54 rental outlets in the Baltic States .
neutral	ALEXANDRIA , Va. , March 28 -- Pertti Salmi and Hanna Vuolteenaho , both of Oulu , Finland , and Sami Viitasaari of Ii , Finland , have developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .
positive	Incap and Lankapaja aim to enter into actual agreement to transfer the sheet-metal production to the buyer in February in order to complete the transfer on 1 March 2011 .
positive	The rationalization of the operations seeks to achieve over EUR 1 million in yearly savings as from the second quarter of the current financial year .
neutral	Fortum needs a clear signal of commitment from the Government that the permit is available before the company will start the next round , Kuula says .
neutral	The EB Tough VoIP Field Phone is equipped with an integrated speaker , Ethernet and SHDSL connectivity , and enables several innovative applications .
neutral	Vehvilainen , who is currently the chief operating officer at Nokia Siemens Networks , will join Finnair on 5 January 2010 and take over as CEO effective 1 February 2010 .
neutral	Global Markets Direct 's Pohjola Bank plc - Financial Analysis Review is an in-depth business , financial analysis of Pohjola Bank plc. .
neutral	The huge bridge girders will be delivered to the site from our plant in Ylivieska , Finland .
neutral	The Division also includes joint sales , marketing and controlling functions for these units .
neutral	In parallel , TeliaSonera has decided to conduct a compulsory acquisition .
positive	Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .
negative	Finnish management software solutions provider Ixonos Oyj net profit decreased to 369,000 euro ( $ 575,000 ) for the first quarter of 2008 from 669,000 euro ( $ 1.0 mln ) for the same period of 2007 .
neutral	E 's building system service had revenue of EUR 355 mln in 2007 .
